# Data No. 1
 3.0090E+00 1.2750E+00 1.2750E-02
 3.2990E+00 1.2390E+00 1.2390E-02
 3.6320E+00 1.2560E+00 1.2560E-02
 4.0190E+00 1.2320E+00 1.2320E-02
 4.4720E+00 1.2360E+00 1.3596E-02
 5.0050E+00 1.2720E+00 1.3992E-02
 5.3750E+00 1.2640E+00 1.5168E-02
 5.5400E+00 1.3190E+00 1.5828E-02
 5.7130E+00 1.3050E+00 1.5660E-02
 5.8940E+00 1.3090E+00 1.7017E-02
 6.0840E+00 1.2760E+00 1.6588E-02
 6.2840E+00 1.2410E+00 1.6133E-02
 6.4930E+00 1.2760E+00 1.7864E-02
 6.7130E+00 1.2140E+00 1.6996E-02
 6.9440E+00 1.1970E+00 1.6758E-02
 7.1880E+00 1.1750E+00 1.5275E-02
 7.4440E+00 1.1190E+00 2.5737E-02
 7.7150E+00 1.1290E+00 2.5967E-02
 8.0010E+00 1.0940E+00 2.5162E-02
 8.3030E+00 1.1110E+00 2.4442E-02
 8.6220E+00 1.1140E+00 2.4508E-02
 8.9610E+00 1.1000E+00 2.3100E-02
 9.3200E+00 1.1070E+00 2.2140E-02
 9.7010E+00 1.1420E+00 2.2840E-02
 1.0106E+01 1.1600E+00 2.2040E-02
 1.0537E+01 1.2080E+00 2.4160E-02
 1.0996E+01 1.1650E+00 2.3300E-02
 1.1487E+01 1.1540E+00 2.3080E-02
 1.2011E+01 1.1200E+00 2.3520E-02
 1.2572E+01 1.1560E+00 2.4276E-02
 1.3174E+01 1.1150E+00 2.4530E-02
 1.3820E+01 1.0970E+00 2.5231E-02
 1.4515E+01 1.0290E+00 2.3667E-02
 1.5265E+01 1.0040E+00 2.4096E-02
 1.6075E+01 9.8500E-01 2.5610E-02
 1.6951E+01 1.0640E+00 2.8728E-02
 1.7902E+01 1.0020E+00 2.8056E-02
 1.8936E+01 1.0080E+00 2.9232E-02
 2.0064E+01 9.6300E-01 2.9853E-02
 2.1296E+01 1.0310E+00 3.1961E-02
